ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
z._.ung123,548,179,2021-06-09,00:12:24,0,0,['likeforlikes'],z._.ung123_5.png,387
haekyoung_lee,2388,308,2021-06-11,15:58:07,0,0,"['페이스', '축소', '일상', '반복', '셀카', '명당', '내차', '운전석', '45도', '남이찍어주는사진', '지지', '씩씩하게', '나답게', '웃자', '방긋', '으ㅤㅆㅑㅤ', '나에게하는말', '견디지않아도괜찮아', '예쁘지않아도괜찮아', '내취향', '내공간', '취미', '일상', '소통', '좋아요', '좋반', '좋반테러', '좋아요반사', 'daliy']",haekyoung_lee_19.png,217
haekyoung_lee,2388,308,2021-06-10,18:49:40,0,0,"['관리의중요성', '셀프미용', '미안하다', '그래도', '내새끼', '이쁘다', '몽이', '아들', '사랑해', '내시키', '귀여움', '반려견', '말티즈', '가족', '멍스타스램', 'family', 'malteseofinstagram', '편파적', '내취향', '내공간', '취미', '일상', '소통', '좋아요', '좋아요반사', '좋반', 'daliy']",haekyoung_lee_20.png,187
haekyoung_lee,2388,308,2021-06-10,14:13:14,0,0,"['오늘아님', '김용진', '레벨나인컴퍼니', '보이스킹', '보이스킹김용진', '가수김용진', '음색요정', '응원중', '가수', '노래가주는힘', '믿고듣는노래', '마성의보이스', '라이브', '행사', '섭외', 'kimyongjin', 'singer', 'youaremystar', 'Koreansinger', '내공간', '좋반', '좋아요반사', '팬스타그램']",haekyoung_lee_21.png,210
haekyoung_lee,2388,308,2021-06-10,13:21:33,0,0,"['막걸리', '요즘대세', '핫템', '한강주조', '곰표막걸리', '표문막걸리', '선착순', '판매', '성인인증하다가', '매번', '탈락', '팔로우', '팔로워', '좋반', '좋아요반사', '좋반테러', '선팔맞팔', '선팔', '맞팔', '좋아요', '오오티디', 'like4likes', '141', 'f4f', 'fff', 'likeforlikes', 'follow', 'followme']",haekyoung_lee_22.png,188
haekyoung_lee,2388,308,2021-06-10,09:44:48,0,0,"['사랑의스카프', '유기견후원', '수제', '사지마세요입양하세요', '몽이', '아들', '사랑해', '내시키', '귀여움', '반려견', '말티즈', '가족', '멍스타스램', 'family', 'malteseofinstagram', '편파적', '내취향', '내공간', '취미', '일상', '소통', '좋아요', '좋아요반사', '좋반', 'daliy']",haekyoung_lee_23.png,197
haekyoung_lee,2388,308,2021-06-09,18:37:20,0,0,"['일상', '반복', '셀카', '명당', '내차', '운전석', '45도', '남이찍어주는사진', '지지', '씩씩하게', '나답게', '웃자', '방긋', '으ㅤㅆㅑㅤ', '나에게하는말', '견디지않아도괜찮아', '예쁘지않아도괜찮아', '내취향', '내공간', '취미', '일상', '소통', '좋아요', '좋반', '좋반테러', '좋아요반사', 'daliy']",haekyoung_lee_24.png,211
haekyoung_lee,2388,308,2021-06-09,14:56:01,0,0,"['일상', '반복', '여름', '빠지', '웨이크보드', '평생초보', '물놀이', '씩씩하게', '나답게', '웃자', '방긋', '으ㅤㅆㅑㅤ', '나에게하는말', '견디지않아도괜찮아', '예쁘지않아도괜찮아', '내취향', '내공간', '취미', '일상', '소통', '좋아요', '좋반', '좋반테러', '좋아요반사', 'daliy']",haekyoung_lee_25.png,180
haekyoung_lee,2388,308,2021-06-08,11:31:35,0,0,"['일상', '반복', '우리동네', '아님', '초록초록', '녹색효과', '안구정화', '정신정화', '경기도', '하남시', '팔로우', '팔로워', '좋반', '좋아요반사', '좋반테러', '선팔맞팔', '선팔', '맞팔', '좋아요', '오오티디', 'like4likes', '141', 'f4f', 'fff', 'likeforlikes', 'follow', 'followme']",haekyoung_lee_26.png,212
haekyoung_lee,2388,308,2021-06-07,20:08:42,0,0,"['돼지', '일상', '반복', '뭘먹냐보다', '누구랑', '먹느냐', '먹는낙', '오늘도', '먹스타그램', '씩씩하게', '나답게', '웃자', '방긋', '으ㅤㅆㅑㅤ', '나에게하는말', '견디지않아도괜찮아', '예쁘지않아도괜찮아', '내취향', '내공간', '취미', '일상', '소통', '좋아요', '좋반', '좋반테러', '좋아요반사', 'daliy']",haekyoung_lee_27.png,214
